,word,0,10,20,30,40,50,60,70,80,90,100
0,migrated,1.11022302463e-16,0.000872418175323,0.00163239346299,0.00120623188345,0.00195880729047,0.000956135136456,0.000423051112648,0.00080096414215,0.00178216086799,0.00200251339806,0.000516003659474
1,currently,-2.22044604925e-16,0.0012837856884,0.00180684477982,0.00104350579226,0.000974100245425,0.00277428185101,0.00108009635631,0.00181864757981,0.00095978013122,0.00196721203902,0.00103641003618
2,being,-2.22044604925e-16,0.000858761295276,0.000392202430398,0.00110149193982,0.000437003756008,0.00288452691495,0.000480040441516,0.000852266288651,0.00166144866232,0.000533627442543,0.000414121996439
3,over,-2.22044604925e-16,0.00119965815083,0.0015115694704,0.000839422777556,0.00106703948604,0.00131251761167,0.000984722377035,0.00158391740269,0.00078290233798,0.00112212950912,0.000978975963627
4,yellow,0.0,0.00254490615436,0.00270878174663,0.00216452713928,0.00198040188663,0.00149616057533,0.00151417208303,0.00274979283334,0.00238243701739,0.00156518619162,0.00174588152308
5,through,-2.22044604925e-16,0.00174319818518,0.00191631585125,0.00426147373317,0.000877886675887,0.00108574100289,0.000962504769448,0.00116185177537,0.00179869197052,0.00169621654883,0.000958763857589
6,migrates,0.0,0.00131113709493,0.000857429156569,0.000490123635264,0.000362377774681,0.000638384458669,0.0013319665169,0.000318057215608,0.000638045458083,0.00178023822708,0.00023274894329
7,corner,0.0,0.000337905717337,0.00113435752604,0.00076409491723,0.00048985863182,0.00051012116206,0.00168055863229,0.000345696878194,0.000779727182921,0.000829914834735,0.000475605883407
8,plodding,0.0,0.000628825905085,0.00317026258821,0.00318046527095,0.000682640466952,0.000217909982662,0.00110595377253,0.00424130457374,0.000966928389536,0.00121628818713,0.000212713638015
9,whose,0.0,0.00022746122442,0.00028012473493,0.000710063853716,0.000353134727056,0.000269737217692,0.000582041250739,0.000630624659314,0.00122957902638,0.000898547986549,0.000203963748057
